side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,condition_1_onset,5683797.0,-0.101,1.153,0.492,10.4,-14.4,250.3,344,663,0,,,,
R,condition_1_onset,5683857.0,-0.143,1.49,0.061,-17.2,-68.7,270.4,387,676,0,,,,
R,condition_1_onset,5683917.0,-0.434,1.738,0.105,-101.9,-65.9,231.7,378,646,0,,,,
R,condition_1_onset,5683977.0,-0.984,1.536,0.351,41.0,-212.3,139.3,376,668,0,,,,
R,condition_1_onset,5684076.0,1.737,0.548,0.499,96.0,46.9,-35.0,584,718,0,,,,
R,condition_1_onset,5684127.0,-0.116,1.431,-0.023,78.4,-16.1,-72.7,648,808,0,,,,
R,condition_1_onset,5684217.0,0.445,0.835,-0.215,64.7,-54.6,-41.0,698,838,0,,,,
R,condition_1_onset,5684278.0,0.345,0.925,-0.246,10.8,-14.2,-18.9,717,845,0,,,,
R,condition_1_onset,5684368.0,0.333,0.969,0.007,-14.9,-45.5,-50.0,733,854,0,,,,
R,condition_1_onset,5684427.0,0.336,0.959,0.058,-8.1,-20.0,-44.2,720,858,0,,,,
R,condition_1_onset,5684488.0,0.298,0.991,0.115,10.9,12.7,-39.2,706,858,0,,,,
R,condition_1_onset,5684551.0,0.213,1.004,-0.016,9.0,-14.2,-36.1,670,858,0,,,,
R,condition_1_onset,5684607.0,0.167,0.982,-0.082,9.2,-18.7,-48.2,582,857,0,,,,
R,condition_1_onset,5684667.0,0.288,1.114,-0.114,13.5,1.6,-76.3,550,855,0,,,,
R,condition_1_onset,5684727.0,0.056,1.177,-0.07,18.9,-34.6,-99.9,410,856,0,,,,
R,condition_1_onset,5684817.0,0.369,1.481,0.074,20.3,-56.6,-149.8,362,839,0,,,,
R,condition_1_onset,5684877.0,0.099,1.407,-0.046,14.7,-107.4,-189.4,380,817,0,,,,
R,condition_1_onset,5684937.0,-0.308,0.657,-0.335,-49.1,-131.8,-110.4,408,599,0,,,,
R,condition_1_onset,5684998.0,0.533,0.269,0.512,65.9,-159.7,29.9,394,600,0,,,,
R,condition_1_onset,5685057.0,0.223,0.483,0.489,64.6,-26.9,149.3,409,594,0,,,,
R,condition_1_onset,5685118.0,0.114,0.812,0.461,13.7,-7.9,239.8,257,631,0,,,,
R,condition_1_onset,5685220.0,-0.031,1.576,0.386,-33.6,-129.7,272.8,408,655,0,,,,
R,condition_1_onset,5685238.0,0.167,1.738,0.599,-43.1,-143.6,277.0,384,648,0,,,,
R,condition_1_onset,5685297.0,-0.504,1.349,0.598,-93.1,-86.7,212.5,398,664,0,,,,
R,condition_1_onset,5685357.0,-1.122,1.147,0.209,12.7,-65.1,-16.1,337,710,0,,,,
R,condition_1_onset,5685417.0,1.684,0.849,0.37,74.3,-7.3,-76.5,448,704,0,,,,
R,condition_1_onset,5685477.0,-0.059,1.361,0.528,42.5,-14.6,-64.1,652,788,0,,,,
R,condition_1_onset,5685538.0,0.271,0.958,-0.219,29.2,11.0,-37.5,680,814,0,,,,
R,condition_1_onset,5685597.0,0.428,0.894,-0.02,20.3,3.4,-31.7,719,836,0,,,,
R,condition_1_onset,5685658.0,0.36,0.986,-0.109,0.0,-11.7,-33.3,730,846,0,,,,
R,condition_1_onset,5685747.0,0.276,1.003,0.054,-15.8,-20.3,-47.2,732,851,0,,,,
R,condition_1_onset,5685807.0,0.207,0.976,-0.044,-13.2,-20.3,-42.4,732,857,0,,,,
R,condition_1_onset,5685897.0,0.215,0.911,0.151,8.4,-24.9,-29.2,711,857,0,,,,
R,condition_1_onset,5685958.0,0.227,0.987,-0.018,10.9,-7.3,-49.4,659,855,0,,,,
R,condition_1_onset,5686017.0,0.246,1.084,-0.022,16.3,3.5,-78.3,620,853,0,,,,
R,condition_1_onset,5686078.0,0.2,1.217,0.04,20.1,-28.6,-101.0,437,855,0,,,,
R,condition_1_onset,5686167.0,0.322,1.405,0.068,2.1,-54.3,-136.4,353,835,0,,,,
R,condition_1_onset,5686271.0,0.213,1.248,0.003,-5.6,-101.2,-142.7,309,735,0,,,,
R,condition_1_onset,5686288.0,-0.13,0.84,0.136,-48.6,-99.2,-115.0,327,653,0,,,,
R,condition_1_onset,5686347.0,0.71,0.274,0.059,44.3,-134.3,-14.0,367,598,0,,,,
R,condition_1_onset,5686408.0,0.276,0.378,0.21,43.6,-20.9,120.6,388,595,0,,,,
R,condition_1_onset,5686467.0,0.208,0.702,0.329,11.6,16.7,221.9,404,596,0,,,,
R,condition_1_onset,5686528.0,0.132,1.254,0.335,-0.2,-14.2,259.7,389,655,0,,,,
